"","fullReferrer","01","02","03","04","05","06","07","08","09"
"1","carolinadonorservices.org/",0,0,0,0,0,0,4,1,1
"2","carolinadonorservices.org/about-recipients",0,0,0,0,0,0,1,0,0
"3","carolinadonorservices.org/about-us",0,0,0,0,0,0,0,1,0
"4","carolinadonorservices.org/careers",0,0,0,0,0,0,2,0,0
"5","carolinadonorservices.org/corey-cole",0,0,0,0,0,0,0,0,0
"6","carolinadonorservices.org/donation-process",0,0,0,0,0,0,0,0,1
"7","carolinadonorservices.org/donor-quilts-gallery",0,0,0,0,0,0,0,2,0
"8","carolinadonorservices.org/events",0,0,0,0,0,0,0,0,0
"9","carolinadonorservices.org/form/memoriam-contributions",0,0,0,0,0,0,0,0,0
"10","carolinadonorservices.org/form/request-speaker",0,0,0,0,0,0,0,0,0
"11","carolinadonorservices.org/frequently-asked-questions",3,4,4,3,8,6,7,1,4
"12","carolinadonorservices.org/high-school-education",0,0,0,0,0,0,0,0,0
"13","carolinadonorservices.org/news",0,0,0,0,0,0,0,0,0
"14","carolinadonorservices.org/news/messages-inspire-donation-march",0,0,0,0,0,0,0,0,0
"15","carolinadonorservices.org/news/messages-inspire-donation-september",0,0,0,0,0,0,0,0,0
"16","carolinadonorservices.org/node/191/done",0,0,0,0,0,0,0,1,0
"17","carolinadonorservices.org/node/234/draft",0,0,0,0,0,0,0,0,0
"18","carolinadonorservices.org/node/549/done",0,0,0,0,0,0,0,0,0
"19","carolinadonorservices.org/node/673/done",0,0,0,0,0,0,0,0,1
"20","carolinadonorservices.org/node/77/done",0,0,0,0,0,0,0,0,0
"21","carolinadonorservices.org/partners/form/post-donation-evaluation-form",0,0,0,0,0,0,0,0,0
"22","carolinadonorservices.org/partners/workplace-partnership-life",0,0,0,0,0,0,0,0,0
"23","carolinadonorservices.org/quilt-search",0,0,0,0,0,0,0,0,0
"24","carolinadonorservices.org/register-donate",1,2,1,4,3,1,0,0,0
"25","carolinadonorservices.org/shareyourbeautifulheart",0,0,0,0,0,0,0,0,0
"26","carolinadonorservices.org/stories-hope",0,0,0,0,0,0,0,0,0
"27","carolinadonorservices.org/story/crystals-story",0,0,0,0,0,0,0,0,0
"28","carolinadonorservices.org/story/daisys-story",0,0,0,0,0,0,0,0,0
"29","carolinadonorservices.org/story/mandys-story",0,0,0,0,0,0,0,0,0
"30","carolinadonorservices.org/story/sandras-story",0,0,0,0,0,0,1,0,0
"31","carolinadonorservices.org/tribute",0,0,0,0,0,0,0,0,0
"32","carolinadonorservices.org/volunteer",0,0,0,0,0,0,0,0,0
"33","carolinadonorservices.org/ziari-king",0,0,0,0,0,0,0,0,0
"34","gw.carolinadonorservices.com/gw/webacc/2debd6a12811afa858797d3f71fce395d8974d/SOAP/HREF/",0,0,0,0,0,0,0,0,0
"35","gw.carolinadonorservices.com/gw/webacc/31b236e7637272e3d51d3bb82e533e65e199636/SOAP/HREF/",0,0,0,0,0,0,0,0,0
"36","gw.carolinadonorservices.com/gw/webacc/33e2717a8494137f7f3a54d8d664ae73827c450/SOAP/HREF/",0,0,0,0,0,0,0,0,0
"37","gw.carolinadonorservices.com/gw/webacc/83124aca928ba5988012c2bf421b7933eaafeae/SOAP/HREF/",0,0,0,0,0,0,0,0,0
"38","gw.carolinadonorservices.com/gw/webacc/d4c9e9e581ea80f390253e15eff2d04c8d69f84/SOAP/HREF/",0,0,0,0,0,0,0,0,0
"39","gw.carolinadonorservices.com/gw/webacc/ecaf1fb295edf1d3c2d48c0ff31d96138cab4fb/SOAP/HREF/",0,0,0,0,0,0,0,0,0
